Gimson IPA Replacement Log
Date: 2026-06-13 19:59:59
Total words: 295
Changed via API: 78
Changed via phonemizer: 72
Unchanged: 145
Failed: 0

 Idx Word                      Old                            New                            Source
----------------------------------------------------------------------------------------------------
   2 community                 /kəˈmjuːnəti/                  /k(ə)ˈmjunəti/                 API
   3 thanksgiving              /ˌθæŋksˈɡɪvɪŋ/                 /ˈθæŋksˌɡɪv.ɪŋ/                API
   5 charades                  /ʃəˈrɑːdz/                     /ʃɐrɑːdz/                      phonemizer
   6 loan                      /loʊn/                         /ləʊn/                         API
   7 craft                     /kræft/                        /krɑːft/                       API
   8 aerobics                  /ˌerˈoʊbɪks/                   /əˈrəʊbɪks/                    API
  11 guarantor                 /ˌɡærənˈtɔːr/                  /ˈɡærəntɔː(r)/                 API
  13 tuxedo                    /tʌkˈsiːdoʊ/                   /tʌkˈsiːdəʊ/                   API
  15 stretch                   /stretʃ/                       /strɛtʃ/                       API
  16 exhausted                 /ɪɡˈzɔːstɪd/                   /ɪɡˈzɑstɪd/                    API
  19 tennis                    /ˈtenɪs/                       /ˈtɛn.ɪs/                      API
  22 program                   /ˈpɹoʊˌɡɹæm/                   /ˈprəʊɡræm/                    API
  29 responsible               /ɹɪˈspɒnsəbl̩/                 /rɪˈspɒnsəbl̩/                 API
  39 programs                  /ˈpɹoʊɡɹæms/                   /ˈprəʊɡræms/                   API
  42 refurbishing              /ˌriːˈfɜːrbɪʃɪŋ/               /rɪfɜːbɪʃɪŋ/                   phonemizer
  44 parade                    /pəˈɹeɪd/                      /pəˈreɪd/                      API
  46 fliers                    /ˈflaɪərz/                     /flaɪəz/                       phonemizer
  47 ferryboat                 /ˈfɛɹiˌbəʊt/                   /ˈfɛriˌbəʊt/                   API
  51 frozen                    /ˈfɹəʊzən/                     /ˈfrəʊzən/                     API
  52 pilgrims                  /ˈpɪlɡɹɪmz/                    /ˈpɪlɡrɪmz/                    API
  55 solved                    /sɑːlvd/                       /sɒlvd/                        phonemizer
  57 tonsils                   /ˈtɑːnsəlz/                    /tɒnsəlz/                      phonemizer
  58 flavors                   /ˈfleɪvərz/                    /fleɪvəz/                      phonemizer
  60 dinnertime                /ˈdɪnərtaɪm/                   /dɪnətaɪm/                     phonemizer
  61 theater                   /ˈθi(ə)tɚ/                     /ˈθiːə.tə/                     API
  64 crabs                     /kɹæbz/                        /kræbz/                        API
  66 property                  /ˈpɹɒp.ət.i/                   /ˈprɒp.ət.i/                   API
  67 organization              /ˌɔɹɡənaɪˈzeɪʃən/              /ˌɔrɡənaɪˈzeɪʃən/              API
  68 foreman                   /ˈfɔː(ɹ)mən/                   /ˈfɔː(r)mən/                   API
  71 adorable                  /əˈdɔːɹəbəl/                   /əˈdɔːrəbəl/                   API
  74 creep                     /kɹiːp/                        /kriːp/                        API
  77 barn                      [baːn]                         /bɑːn/                         API
  78 railroad                  /ˈɹeɪlɹəʊd/                    /ˈreɪlrəʊd/                    API
  79 centers                   /ˈsentərz/                     /sɛntəz/                       phonemizer
  80 contract                  /ˈkɒntɹækt/                    /ˈkɒntrækt/                    API
  84 fellas                    /ˈfeləz/                       /fɛləz/                        phonemizer
  85 wristband                 /ˈɹɪs(t)ˌbænd/                 /ˈrɪs(t)ˌbænd/                 API
  88 drugstore                 /ˈdɹʌɡ.stɔɹ/                   /ˈdrʌɡ.stɔː(r)/                API
  89 ladders                   /ˈlædərz/                      /ladəz/                        phonemizer
